datetime,date_only,zone,latitude,longitude,no2_value,o3_value,hcho_value,so2_value,co_value
2025-10-04 06:00:00+00:00,2025-10-04,Centro Histórico,25.43932,-100.98761,48.7,-37.15055886,0.0002482,0.0001562234544186,0.013653
2025-10-04 06:15:00+00:00,2025-10-04,Centro Histórico,25.43695,-100.99498,44.15,-37.66161458,0.00011167,0.0001897150619407,0.03219
2025-10-04 06:30:00+00:00,2025-10-04,Centro Histórico,25.4446,-100.98054,44.04,-29.05875373,1e-05,0.0001972157927303,0.025429
2025-10-04 06:45:00+00:00,2025-10-04,Centro Histórico,25.43759,-100.98994,48.1,-22.96321756,1e-05,0.0002415089970331,0.014148
2025-10-04 07:00:00+00:00,2025-10-04,Centro Histórico,25.44373,-100.99712,43.94,-23.67961247,0.00023047,0.0002501307321549,0.013337
2025-10-04 07:15:00+00:00,2025-10-04,Centro Histórico,25.4389,-100.98872,45.9,-16.13328431,0.00016471,0.0003016482707612,0.01
2025-10-04 07:30:00+00:00,2025-10-04,Centro Histórico,25.43679,-101.00523,43.09,-10.56941191,0.00037811,0.0003318928434492,0.019808
2025-10-04 07:45:00+00:00,2025-10-04,Centro Histórico,25.44128,-101.00133,42.49,-11.66976815,0.00017845,0.000346667260028,0.01
2025-10-04 08:00:00+00:00,2025-10-04,Centro Histórico,25.43246,-101.00135,42.47,-2.06818234,0.00044634,0.0003360520602956,0.021021
2025-10-04 08:15:00+00:00,2025-10-04,Centro Histórico,25.43772,-100.98575,46.28,-1.12342866,0.00027415,0.00035009392925,0.010863
2025-10-04 08:30:00+00:00,2025-10-04,Centro Histórico,25.44142,-101.00723,42.21,0.97039525,0.00085313,0.0003094908344294,0.014502
2025-10-04 08:45:00+00:00,2025-10-04,Centro Histórico,25.44964,-100.9859,46.66,6.17238488,0.00091965,0.0003094644924637,0.01
2025-10-04 09:00:00+00:00,2025-10-04,Centro Histórico,25.4437,-101.00294,45.95,5.82163724,0.0013146,0.0002837480659965,0.01
2025-10-04 09:15:00+00:00,2025-10-04,Centro Histórico,25.4357,-101.00067,47.41,9.21049524,0.00121354,0.0002279463173595,0.012443
2025-10-04 09:30:00+00:00,2025-10-04,Centro Histórico,25.44154,-100.99078,47.12,10.2162383,0.00155225,0.0001949743696453,0.019316
2025-10-04 09:45:00+00:00,2025-10-04,Centro Histórico,25.4463,-100.9988,48.6,12.77109435,0.0018458,0.0001744705717712,0.015454
2025-10-04 10:00:00+00:00,2025-10-04,Centro Histórico,25.44524,-100.98654,50.98,22.06988635,0.00207461,0.0001590127393133,0.027453
2025-10-04 10:15:00+00:00,2025-10-04,Centro Histórico,25.44574,-100.9857,48.77,16.53463597,0.00183922,0.0001071504291412,0.026901
2025-10-04 10:30:00+00:00,2025-10-04,Centro Histórico,25.43778,-100.9946,50.15,20.16881655,0.00242032,9.719359714879453e-05,0.03508
2025-10-04 10:45:00+00:00,2025-10-04,Centro Histórico,25.44872,-101.00753,55.49,21.60000762,0.00284471,7.265263995727567e-05,0.045563
2025-10-04 11:00:00+00:00,2025-10-04,Centro Histórico,25.44369,-100.99601,50.07,21.59230176,0.00298399,5.26449165342247e-05,0.043294
2025-10-04 11:15:00+00:00,2025-10-04,Centro Histórico,25.44988,-101.00121,50.0,23.97334047,0.00315266,3.062908887655096e-05,0.04875
2025-10-04 11:30:00+00:00,2025-10-04,Centro Histórico,25.44906,-100.99445,53.82,19.60385756,0.00358181,4.188370821764384e-05,0.074352
2025-10-04 11:45:00+00:00,2025-10-04,Centro Histórico,25.43047,-100.99197,56.67,21.80681385,0.00362373,2.586935070616879e-06,0.063197
2025-10-04 12:00:00+00:00,2025-10-04,Centro Histórico,25.44841,-101.0052,55.49,24.93315121,0.00384319,2.5288767829648752e-05,0.080399
2025-10-04 12:15:00+00:00,2025-10-04,Centro Histórico,25.44846,-101.00599,60.57,25.58,0.00464042,1.886976977354848e-05,0.081615
